Time_ns,X,Y,Yaw
1779293246665011127,-0.019599710703112436,-0.07543800280535042,0.02465654855804076
1779293248396166830,-0.008954632359558136,-0.07177168315287785,0.05394494413444142
1779293260348869100,-0.003426012581853277,-0.06516670770451004,0.07910835422522364
1779293294641409635,0.0,0.0,0.0
1779293294772368117,0.0,0.0,0.0
1779293297790468430,0.07996493225899882,0.0015470135202464643,0.008935636473513076
1779293298080325059,0.19282817749111628,0.0010773733846681879,0.020755202335060192
1779293298427107670,0.2826926656467999,-0.003939228576153104,0.03614285277670831
1779293298631357059,0.3433325281514966,-0.013908459881269934,0.022228243006834427
1779293298988483559,0.43091842686263016,-0.027143954495666863,-0.008905981161258911
1779293299276754614,0.533516586156548,-0.044392766392248366,-0.05022820509478731
1779293299621363929,0.6492770129354386,-0.058835681187602136,-0.08959382527917523
1779293299969545132,0.7346243915588191,-0.07100698826800163,-0.09735955207730349
1779293300362695539,0.8576349873699561,-0.06760576736961897,-0.1649606244973525
1779293300647053095,0.9651691637935877,-0.07193178940243378,-0.2671513979696013
1779293300979490428,1.110820389028666,-0.07116803937681142,-0.34366197165056334
1779293301332057168,1.2250265296098661,-0.07858676339145462,-0.3747951459973136
1779293301495469928,1.2855310834888725,-0.08781779883631817,-0.39869770551105554
1779293301871688205,1.4263323179081009,-0.09226899562855023,-0.43688808780905275
1779293301998576335,1.510933310621248,-0.10285723600273966,-0.44815992479347516
1779293302326945797,1.618366630044083,-0.10099129195937784,-0.45607751443049965
1779293302681166427,1.745072726862835,-0.09509735628273394,-0.4848280931398835
1779293303026134001,1.8662732104833035,-0.09852385120946965,-0.48660421316824504
1779293303180493964,1.934725655379597,-0.10568868788281671,-0.4816630454311206
1779293303524591982,2.056679167398355,-0.1015960910716283,-0.5153399325909674
1779293303676345630,2.130482224684203,-0.09826706145334192,-0.5263718832236263
1779293303872549222,2.2102967517870513,-0.10502938289784129,-0.5406755075219305
1779293304226608130,2.327393526757175,-0.1109863620650763,-0.5436411245002252
1779293304373818093,2.4011809036672744,-0.11435538535990053,-0.5433030781074176
1779293304529378444,2.4703969443199445,-0.11516948855802814,-0.5329263887165887
1779293304878745592,2.589112919319032,-0.07224919913360703,-0.5617389399398581
1779293305251598833,2.7069198663229987,-0.058678896362492294,-0.6166696983156421
1779293305578735740,2.830167569561866,-0.059429052759549024,-0.6144877405515081
1779293305775793332,2.881013143165797,-0.06959563833085271,-0.6016562328407046
1779293306077537443,2.9833392963681256,-0.09810877094823836,-0.5182796751118735
1779293306226891980,3.0260810755421823,-0.11277941326925386,-0.4622224066075641
1779293306572563499,3.0949794246885984,-0.10595342196694302,-0.36678683085859753
1779293307091157609,3.128922426905682,-0.05880214630515674,-0.38615048877968516
1779293307423150794,3.1368734778738037,-0.03268670757563179,-0.30241659932662424
1779293307776583442,3.1340998907729936,-0.006454732777324763,-0.24190652448728803
1779293308130941072,3.1430592841337957,0.020056141091633593,-0.1552100405040934
1779293308469883183,3.1529346905419873,0.03909735807894123,-0.20485728070892587
1779293308820868386,3.1573007294689273,0.03490593479944016,-0.2567654344060007
1779293309975354663,3.154928942725066,0.008784765969920002,-0.3091412702860748
1779293310914377959,3.1632643370792883,-0.0252864530131928,-0.24891579669194697
1779293311046583218,3.1667426190852455,-0.02244139119290587,-0.18009623245911757
1779293311185117459,3.1648866325889307,-0.020922275753893955,-0.11608712391540532
1779293311542997273,3.1590561551325704,-0.02420047456187864,-0.036054598273204966
1779293312030707384,3.1470716422032727,-0.0252075523331956,0.04154347640872051
1779293312724066773,3.128802205156984,-0.009518549012770345,-0.014568414375229452
1779293313041085550,3.1320563229338756,0.007595350639515091,-0.10057919911380474
1779293313240193309,3.1330484188961187,0.013219867396264707,-0.15550150445347885
1779293313369745902,3.1271670518920995,0.014735667494217662,-0.23257586507783237
1779293313578882365,3.136152322801053,0.008040837139929813,-0.2970347965843215
1779293313884058605,3.1465627445890942,0.0025581682286546004,-0.35304317993790374
1779293314575595494,3.172186714846296,-0.011155491412187924,-0.3028792938274431
1779293314728942790,3.17029590188975,-0.006923446867728724,-0.23573312188634188
1779293314925289586,3.1697873373797707,-0.01509605886006912,-0.1780709404573475
1779293315079757957,3.1708483095052196,-0.014571477697002346,-0.11375517307469944
1779293315458064493,3.171201137377797,-0.007684605773255434,-0.037634003754415904
1779293316984371104,3.1349359793021607,0.021949836923447152,0.01203944195634043
1779293317327669974,3.1140543014448965,0.11377913589704863,0.03892676374982429
1779293317625835270,3.1193934424786227,0.20015444791157136,0.1455682004242394
1779293317777406733,3.1235298247278425,0.2589891017049484,0.19987272768384678
1779293317983119455,3.1211492039155,0.31386241556005184,0.252957718839145
1779293318125669825,3.1188934546059555,0.3702505461793346,0.32346219013861494
1779293318319329084,3.115335852661506,0.42314262628933424,0.39512039163572055
1779293318476745788,3.104760894795301,0.47429997878359564,0.47374784777728823
1779293318679469158,3.1012918105211114,0.5188187114336041,0.5489849074697348
1779293318827047732,3.106858170386865,0.5829193125867371,0.6522016202782702
1779293318979325288,3.1013130941562745,0.6307198711659879,0.7346495225422843
1779293319323411287,3.1022980321843074,0.75531494385491,0.8125372536469527
1779293319679163102,3.099110627336601,0.874455397591676,0.9103069812946557
1779293320031656713,3.085250418574924,0.9801093052553216,0.9208144532913165
1779293320397869731,3.079442479540018,1.0974498492307954,0.9154711407286237
1779293320677687787,3.058829392191516,1.2022599811535322,0.8727751089918473
1779293321021043009,3.0605510751090215,1.3179975587560633,0.8625652539639266
1779293321191867823,3.068668082562046,1.401853077803228,0.8588888930733144
1779293321411158508,3.080735555920456,1.4734872583621488,0.8699992934069136
1779293321525133397,3.0924732482142927,1.5427614610781248,0.8846616514126961
1779293321731826212,3.097687456989893,1.6252233978046948,0.9034866517085527
1779293322080028045,3.1124578417169126,1.7353655740881764,0.9631762779027453
1779293322391130248,3.117632820889839,1.8416403041738418,1.0138220202191757
1779293322728387896,3.1203623542025425,1.9568200472724044,1.0495421143906936
1779293323084154822,3.1015189106784398,2.0741538581018912,1.0408363512323004
1779293323228154489,3.0871528987741446,2.1427844686192117,1.0245547831747757
1779293323596132396,3.074963389898085,2.2767939476368384,1.0338636216506527
1779293323923443525,3.0730837319282234,2.4191277326698066,1.0387524963022068
1779293324227229803,3.0805741103300845,2.5540322475996544,1.0096417902767227
1779293324577005543,3.090470872703905,2.691480903413714,0.9921358392304218
1779293324922408006,3.1013330570438047,2.8248571945398755,0.9937596261964863
1779293325119656728,3.101104277111474,2.898165024398477,0.9944153919209208
1779293325285100302,3.1043638044228317,2.967332756554453,0.9937949627826937
1779293325431509247,3.104178532436358,3.033901499626168,0.9985022732345891
1779293325624106580,3.1087848385611974,3.1135420122338155,1.0056384115114003
1779293325920526265,3.11653106070132,3.233355147692778,1.0070136961376643
1779293326122960691,3.1193726636893593,3.3039016255419327,1.01124524815858
1779293326283838820,3.122973981589682,3.3727152275699024,1.0101608015084829
1779293326488665857,3.1232424653586897,3.4365456727134935,1.0150194372352124
1779293326781202005,3.123968572026667,3.548064986613277,1.0146437094795595
1779293327122713412,3.1245426026980097,3.665525123361005,0.9660784462271355
1779293327476098449,3.141054153386312,3.783115395365458,0.9252632477752158
1779293327823441449,3.1730011449362427,3.858866324528146,0.9163491131146371
1779293328135128597,3.205071691156389,3.9199505843363154,0.9804233768533294
1779293328968491152,3.1991858688248467,3.946422713409576,1.0379526071260239
1779293329170021356,3.1955753979377968,3.9515723816282846,1.0895039308292827
1779293329317688578,3.2007120905422974,3.9569686343566772,1.1568273277036447
1779293329530467392,3.198956077635487,3.966693178307632,1.2399361013276518
1779293329678547077,3.1967454193808265,3.969569808463228,1.3159134425363677
1779293329834193559,3.1940037046043495,3.969308906086055,1.3796433541446755
1779293330026287503,3.191167300710838,3.9673988715153037,1.4446957734031831
1779293330204833910,3.1908477949274716,3.961916145455639,1.4995666128778664
1779293330527184225,3.188380301254938,3.9598332800600144,1.5749837418058785
1779293332725985724,3.196219018367024,3.944094524585078,1.6268252313771165
1779293335075077352,3.106622498868996,3.9481861485038428,1.6672892851674948
1779293335300235778,3.0575941380351765,3.946001126549644,1.7285087208609098
1779293335426862278,3.0033951152282117,3.949285155939307,1.8068942419609522
1779293335580624796,2.9568487347894887,3.9511855283780424,1.8807044291437
1779293335779891592,2.9036700310596792,3.9544789074962132,1.951131420480071
1779293335932313648,2.844826981052553,3.9572952043034535,2.0228425761634057
1779293336125556907,2.795421635105099,3.9532243637012643,2.084828733836061
1779293336293189999,2.7460937474073757,3.954734774382635,2.1367481642589055
1779293336458048888,2.6869416744106394,3.9558535933417565,2.2046874423376077
1779293336783557536,2.5576777171923095,3.9492977108576266,2.285377439400692
1779293337121748758,2.427707142948229,3.9297333673870964,2.3542827462046407
1779293337475226721,2.304200647385394,3.939385764428536,2.444176964552677
1779293337630228684,2.231327751217102,3.9228249767449634,2.463749987661668
1779293337980260554,2.1176257338016766,3.907318525979311,2.4381213523363234
1779293338276485350,1.9877071876594794,3.905982923348379,2.441760808307117
1779293338621049165,1.8686537571118063,3.8988955129863587,2.4332956172667406
1779293338978662331,1.7378745309817374,3.908930193884408,2.4370673612217737
1779293339187556387,1.6781394447534725,3.9270411249316846,2.453485633973387
1779293339333532442,1.6142814829149212,3.9313649171291583,2.4714849491118382
1779293339526971442,1.5534635485485477,3.940048445023416,2.4897293685313735
1779293339829475886,1.4296143792810823,3.925547426212849,2.4919871870164183
1779293340206365404,1.3058930740530972,3.921229954106981,2.540933104546218
1779293340536189886,1.1734849914030332,3.9203861065319003,2.5528754376200395
1779293340826427867,1.0614612416640887,3.9068020241882606,2.4971307413071306
1779293341027985960,0.9964419575222686,3.903547644389092,2.455082509243008
1779293341390225219,0.8715126871189902,3.8974669208045434,2.43796798247009
1779293341556846533,0.8045042156782923,3.8992149861212937,2.4433149063140043
1779293341672395793,0.7438610654667305,3.9021216785324873,2.447524958338199
1779293341904725126,0.6857066967885435,3.911107593104777,2.4605941297356075
1779293342023478366,0.6267968616914619,3.916913359734867,2.475882341486236
1779293342177186348,0.561068182974036,3.927200904794217,2.492031063127334
1779293342378092625,0.4965624967434426,3.9275360659219634,2.5038400479806047
1779293342727658884,0.37111250866177975,3.940324221828213,2.505577920517699
1779293342882859533,0.3125288579976984,3.947269882599204,2.504968105306561
1779293343022735032,0.2617085460522242,3.948163834791504,2.427060832476323
1779293343383227310,0.16942835692194713,3.9676959560781833,2.365354958813603
1779293343725328625,0.11834878515732628,3.978333697993318,2.294412525893209
1779293344084583791,0.0766368399566088,3.9734884697221253,2.237325933059357
1779293345428298161,0.019637030186305294,3.96940374671593,2.3382407482741856
1779293345591768642,0.02089796709799225,3.9714762483623716,2.4275626981998957
1779293345781644716,0.013236478350850922,3.964337506036211,2.5348713954148834
1779293345923824105,0.0050706824103496344,3.9603088866024843,2.6267548799871077
1779293346087416901,0.0067408412583765285,3.9588967207423247,2.718392916623268
1779293346288450493,0.005034815642250183,3.9555430843836983,2.805035637430693
1779293346428673012,0.003582693467750533,3.953175295803057,2.8836611129947456
1779293346633272475,0.0024646258009941536,3.9575602399318566,2.9393380870053205
1779293346776016252,0.003347787421454435,3.9610904400992224,2.9997075801573727
1779293346923296234,0.006883342023907342,3.9557125895421374,3.053764690276124
1779293347270854363,0.01294904334208792,3.9577920480381463,3.1128681964968985
1779293348628971270,0.03505980557403301,3.907165678536665,-3.1389613465207
1779293349000476344,0.025526911037038844,3.797514559086095,-3.030603074686337
1779293349122476140,0.014576702270915025,3.750409955769506,-2.9621261751710533
1779293349326007381,0.01851818624868756,3.696187465835425,-2.890966555880692
1779293349491022066,0.016071618929699976,3.6473085761210964,-2.8190470896828783
1779293349628690677,0.0187134396178146,3.5946351001144192,-2.7492973002432612
1779293349820901158,0.014526141409583478,3.5487315150364482,-2.67077693323867
1779293349999464325,0.016489249930622906,3.4911697021221864,-2.602550245932146
1779293350125944306,0.023511815131141128,3.4352725483388515,-2.551915384549313
1779293350338335084,0.019869537781496895,3.3735806036389713,-2.4664688513283184
1779293350490964232,0.022213770005783604,3.304435125505123,-2.396377074955407
1779293350819403861,0.025619321038246535,3.166401657003139,-2.288234389983258
1779293351008538009,0.024727308660266102,3.1077240289231605,-2.221307376668696
1779293351188277102,0.036231981615316815,3.0522729480254527,-2.1552331622060494
1779293351322764361,0.036531604781833434,2.9657218802323646,-2.130342186568847
