X_ref,Y_ref,Yaw_ref
-0.04999994859099388,-0.09999981969594884,0.0
-0.023631234819163183,-0.09999981969594884,0.0
0.0013687655533658472,-0.09999981969594884,0.0
0.026368765925894877,-0.09999981969594884,0.0
0.05136876629842391,-0.09999981969594884,0.0
0.07636876667095294,-0.10000058263541334,0.0
0.10136876704348197,-0.10000058263541334,0.0
0.126368767416011,-0.10000058263541334,0.0
0.15136876778854003,-0.10000058263541334,0.0
0.17636876816106906,-0.10000058263541334,0.0
0.20136876853359809,-0.10000134557487783,0.0
0.22636876890612712,-0.10000134557487783,0.0
0.25136876927865615,-0.10000210851434232,0.0
0.2763687696511852,-0.10000210851434232,0.0
0.3013687700237142,-0.10000287145380682,0.0
0.32636877039624324,-0.10000287145380682,0.0
0.35136877076877227,-0.10000363439327131,0.0
0.3763687711413013,-0.1000043973327358,0.0
0.4013687715138303,-0.1000043973327358,0.0
0.42636877188635935,-0.1000051602722003,0.0
0.4513687722588884,-0.1000059232116648,0.0
0.4763687726314174,-0.10000668615112929,0.0
0.5013687730039464,-0.10000744909059378,0.0
0.5263687733764755,-0.10000897496952277,0.0
0.5513687737490045,-0.10000973790898726,0.0
0.5763687741215335,-0.10001050084845176,0.0
0.6013687744940626,-0.10001202672738074,0.0
0.6263687748665916,-0.10001278966684524,0.0
0.6513687752391206,-0.10001431554577422,0.0
0.6763687756116497,-0.10001507848523872,0.0
0.7013687759841787,-0.1000166043641677,0.0
0.7263687763567077,-0.10001813024309669,0.0
0.7513687767292367,-0.10001965612202568,0.0
0.7763687771017658,-0.10002118200095467,0.0
0.8013687774742948,-0.10002270787988365,0.0
0.8263687778468238,-0.10002423375881264,0.0
0.8513687782193529,-0.10002575963774163,0.0
0.8763687785918819,-0.10002804845613511,0.0
0.9013687789644109,-0.1000295743350641,0.0
0.92636877933694,-0.10003186315345758,0.0
0.951368779709469,-0.10003338903238657,0.0
0.976368780081998,-0.10003567785078005,0.0
1.001368780454527,-0.10003796666917353,0.0
1.026368780827056,-0.10004025548756701,0.0
1.051368781199585,-0.10004254430596049,0.0
1.0763687815721141,-0.10004483312435397,0.0
1.1013687819446432,-0.10004712194274745,0.0
1.1263687823171722,-0.10004941076114093,0.0
1.1513687826897012,-0.10005246251899891,0.0
1.1763687830622302,-0.10005475133739239,0.0
1.2013687834347593,-0.10005780309525036,0.0
1.2263687838072883,-0.10006085485310834,0.0
