X_ref,Y_ref,Yaw_ref
5.21540641784668e-08,1.8179416727548414e-07,0.0
0.05000005289912224,1.8179416727548414e-07,0.0
0.07500005327165127,1.8179416727548414e-07,0.0
0.1000000536441803,1.8179416727548414e-07,0.0
0.12500005401670933,1.8179416727548414e-07,0.0
0.15000005438923836,1.8179416727548414e-07,0.0
0.1750000547617674,1.8179416727548414e-07,0.0
0.20000005513429642,1.8179416727548414e-07,0.0
0.22500005550682545,1.8179416727548414e-07,0.0
0.2500000558793545,1.8179416727548414e-07,0.0
0.2750000562518835,1.8179416727548414e-07,0.0
0.30000005662441254,1.8179416727548414e-07,0.0
0.32500005699694157,1.8179416727548414e-07,0.0
0.3500000573694706,1.8179416727548414e-07,0.0
0.3750000577419996,1.8179416727548414e-07,0.0
0.40000005811452866,1.8179416727548414e-07,0.0
0.4250000584870577,1.8179416727548414e-07,0.0
0.4500000588595867,1.8179416727548414e-07,0.0
0.47500005923211575,1.8179416727548414e-07,0.0
0.5000000596046448,1.8179416727548414e-07,0.0
0.5250000599771738,1.8179416727548414e-07,0.0
0.5500000603497028,1.8179416727548414e-07,0.0
0.5750000607222319,1.8179416727548414e-07,0.0
0.6000000610947609,1.8179416727548414e-07,0.0
0.6250000614672899,1.8179416727548414e-07,0.0
0.650000061839819,1.8179416727548414e-07,0.0
0.675000062212348,1.8179416727548414e-07,0.0
0.700000062584877,1.8179416727548414e-07,0.0
0.725000062957406,1.8179416727548414e-07,0.0
0.7500000633299351,1.8179416727548414e-07,0.0
0.7750000637024641,1.8179416727548414e-07,0.0
0.8000000640749931,1.8179416727548414e-07,0.0
0.8250000644475222,1.8179416727548414e-07,0.0
0.8500000648200512,1.8179416727548414e-07,0.0
0.8750000651925802,1.8179416727548414e-07,0.0
0.9000000655651093,1.8179416727548414e-07,0.0
0.9250000659376383,1.8179416727548414e-07,0.0
0.9500000663101673,1.8179416727548414e-07,0.0
0.9750000666826963,1.8179416727548414e-07,0.0
1.0000000670552254,1.8179416727548414e-07,0.0
1.0250000674277544,1.8179416727548414e-07,0.0
1.0500000678002834,1.8179416727548414e-07,0.0
1.0750000681728125,1.8179416727548414e-07,0.0
1.1000000685453415,1.8179416727548414e-07,0.0
1.1250000689178705,1.8179416727548414e-07,0.0
1.1500000692903996,1.8179416727548414e-07,0.0
1.1750000696629286,1.8179416727548414e-07,0.0
1.2000000700354576,1.8179416727548414e-07,0.0
1.2250000704079866,1.8179416727548414e-07,0.0
1.2500000707805157,1.8179416727548414e-07,0.0
1.2750000711530447,1.8179416727548414e-07,0.0
1.3000000715255737,1.8179416727548414e-07,0.0
1.3250000718981028,1.8179416727548414e-07,0.0
1.3500000722706318,1.8179416727548414e-07,0.0
1.3750000726431608,1.8179416727548414e-07,0.0
1.4000000730156898,1.8179416727548414e-07,0.0
1.4250000733882189,1.8179416727548414e-07,0.0
1.450000073760748,1.8179416727548414e-07,0.0
1.475000074133277,1.8179416727548414e-07,0.0
1.500000074505806,1.8179416727548414e-07,0.0
1.525000074878335,1.8179416727548414e-07,0.0
1.550000075250864,1.8179416727548414e-07,0.0
1.575000075623393,1.8179416727548414e-07,0.0
1.600000075995922,1.8179416727548414e-07,0.0
1.6250000763684511,1.8179416727548414e-07,0.0
1.6500000767409801,1.8179416727548414e-07,0.0
1.6750000771135092,1.8179416727548414e-07,0.0
1.7000000774860382,1.8179416727548414e-07,0.0
1.7250000778585672,1.8179416727548414e-07,0.0
1.7500000782310963,1.8179416727548414e-07,0.0
1.7750000786036253,1.8179416727548414e-07,0.0
1.8000000789761543,1.8179416727548414e-07,0.0
1.8250000793486834,1.8179416727548414e-07,0.0
1.8500000797212124,1.8179416727548414e-07,0.0
1.8750000800937414,1.8179416727548414e-07,0.0
1.9000000804662704,1.8179416727548414e-07,0.0
1.9250000808387995,1.8179416727548414e-07,0.0
1.9500000812113285,1.8179416727548414e-07,0.0
1.9750000815838575,1.8179416727548414e-07,0.0
2.0000000819563866,1.8179416727548414e-07,0.0
2.0250000823289156,1.8179416727548414e-07,0.0
2.0500000827014446,1.8179416727548414e-07,0.0
2.0750000830739737,1.8179416727548414e-07,0.0
2.1000000834465027,1.8179416727548414e-07,0.0
2.1250000838190317,1.8179416727548414e-07,0.0
2.1500000841915607,1.8179416727548414e-07,0.0
2.1750000845640898,1.8179416727548414e-07,0.0
2.200000084936619,1.8179416727548414e-07,0.0
2.225000085309148,1.8179416727548414e-07,0.0
2.250000085681677,1.8179416727548414e-07,0.0
2.275000086054206,1.8179416727548414e-07,0.0
2.300000086426735,1.8179416727548414e-07,0.0
2.325000086799264,1.8179416727548414e-07,0.0
2.350000087171793,1.8179416727548414e-07,0.0
2.375000087544322,1.8179416727548414e-07,0.0
2.400000087916851,1.8179416727548414e-07,0.0
2.42500008828938,1.8179416727548414e-07,0.0
2.450000088661909,1.8179416727548414e-07,0.0
2.475000089034438,1.8179416727548414e-07,0.0
2.500000089406967,1.8179416727548414e-07,0.0
2.525000089779496,1.8179416727548414e-07,0.0
2.5500000901520252,1.8179416727548414e-07,0.0
2.5750000905245543,1.8179416727548414e-07,0.0
2.6000000908970833,1.8179416727548414e-07,0.0
2.6250000912696123,1.8179416727548414e-07,0.0
2.6500000916421413,1.8179416727548414e-07,0.0
2.6750000920146704,1.8179416727548414e-07,0.0
2.7000000923871994,1.8179416727548414e-07,0.0
2.7250000927597284,1.8179416727548414e-07,0.0
2.7500000931322575,1.8179416727548414e-07,0.0
2.7750000935047865,1.8179416727548414e-07,0.0
2.8000000938773155,1.8179416727548414e-07,0.0
2.8250000942498446,1.8179416727548414e-07,0.0
2.8500000946223736,1.8179416727548414e-07,0.0
2.8750000949949026,1.8179416727548414e-07,0.0
2.9000000953674316,1.8179416727548414e-07,0.0
2.9250000957399607,1.8179416727548414e-07,0.0
2.9500000961124897,1.8179416727548414e-07,0.0
2.9750000964850187,1.8179416727548414e-07,0.0
3.0000000968575478,1.8179416727548414e-07,0.0
3.025000097230077,1.8179416727548414e-07,0.0
3.050000097602606,1.8179416727548414e-07,0.0
3.075000097975135,1.8179416727548414e-07,0.0
3.100000098347664,1.8179416727548414e-07,0.0
3.150000099092722,1.8179416727548414e-07,0.0
3.2,0.0,0.0
